station,station_num,latitude,longitude
臺東,4 ,22.7937159 ,121.1209723 
鹿野,8 ,22.9124690 ,121.1194935 
瑞源,9 ,22.9559975 ,121.1567756 
瑞和,10 ,22.9799889 ,121.1536503 
關山,12 ,23.0461840 ,121.1623196 
池上,15 ,23.1258848 ,121.2174072 
富里,18 ,23.1791417 ,121.2464815 
東竹,20 ,23.2260722 ,121.2762320 
東里,22 ,23.2724781 ,121.3019227 
玉里,25 ,23.3315873 ,121.3096129 
瑞穗,29 ,23.4973814 ,121.3746528 
富源,31 ,23.5802729 ,121.3779333 
光復,34 ,23.6662979 ,121.4189783 
萬榮,35 ,23.7119819 ,121.4168773 
鳳林,36 ,23.7463439 ,121.4448353 
豐田,40 ,23.8484799 ,121.4939783 
壽豐,41 ,23.8690209 ,121.5084443 
志學,43 ,23.9075770 ,121.5272077 
吉安,45 ,23.9681589 ,121.5804813 
花蓮,51 ,23.9929512 ,121.5989255 
北埔,52 ,24.0325105 ,121.5994781 
新城,54 ,24.1275502 ,121.6386834 
和平,57 ,24.2982999 ,121.7511563 
南澳,62 ,24.4634027 ,121.7988298 
東澳,63 ,24.5182849 ,121.8285153 
蘇澳,66 ,24.5951849 ,121.8492513 
蘇澳新,67 ,24.6087049 ,121.8252643 
冬山,69 ,24.6367667 ,121.7898353 
羅東,70 ,24.6779329 ,121.7724403 
宜蘭,73 ,24.7543166 ,121.7561893 
礁溪,75 ,24.8270394 ,121.7731649 
頭城,77 ,24.8514334 ,121.8114541 
福隆,83 ,25.0159867 ,121.9423178 
貢寮,84 ,25.0211260 ,121.9067332 
雙溪,85 ,25.0385468 ,121.8577742 
猴硐,88 ,25.0868001 ,121.8253416 
瑞芳,89 ,25.1087467 ,121.8048784 
基隆,92 ,25.1316055 ,121.7361893 
八堵,93 ,25.1083388 ,121.7268653 
七堵,94 ,25.0952226 ,121.7139986 
汐止,96 ,25.0683198 ,121.6595453 
南港,97 ,25.0529098 ,121.6048588 
松山,98 ,25.0490676 ,121.5761896 
臺北,100 ,25.0477435 ,121.5148509 
萬華,101 ,25.0333651 ,121.4994098 
板橋,102 ,25.0144456 ,121.4610858 
樹林,103 ,24.9912602 ,121.4224938 
後龍,121 ,24.6162169 ,120.7851183 
白沙屯,123 ,24.5648009 ,120.7060083 
通霄,125 ,24.4914079 ,120.6762353 
苑裡,126 ,24.4434641 ,120.6492641 
大甲,128 ,24.3444339 ,120.6248283 
清水,130 ,24.2636279 ,120.5669893 
沙鹿,131 ,24.2370811 ,120.5554418 
大肚,133 ,24.1540279 ,120.5403463 
鶯歌,105 ,24.9545424 ,121.3529287 
桃園,106 ,24.9892108 ,121.3113563 
中壢,108 ,24.9539770 ,121.2237819 
楊梅,110 ,24.9140988 ,121.1442343 
湖口,112 ,24.9029258 ,121.0416013
新豐,113 ,24.8692104 ,120.9942963
竹北,114 ,24.8389907 ,121.0072452 
新竹,115 ,24.8022091 ,120.9701869 
竹南,118 ,24.6864833 ,120.8784611 
苗栗,137 ,24.5700249 ,120.8201543 
銅鑼,139 ,24.4864376 ,120.7844251 
三義,140 ,24.4207779 ,120.7715785 
后里,143 ,24.3093142 ,120.7307087 
豐原,144 ,24.2541341 ,120.7207632 
潭子,145 ,24.2121671 ,120.7037898 
臺中,146 ,24.1368350 ,120.6837835 
新烏日,280 ,24.1099177 ,120.6120184 
彰化,149 ,24.0816363 ,120.5362556 
員林,151 ,23.9592138 ,120.5674041 
社頭,153 ,23.8957149,120.5786113 
田中,154 ,23.8583766 ,120.5892919 
二水,155 ,23.8132258 ,120.6158694 
林內,156 ,23.7597623 ,120.6127872 
斗六,158 ,23.7117969 ,120.5389813 
斗南,159 ,23.6729765 ,120.4786519 
大林,161 ,23.6010597 ,120.4536408 
民雄,162 ,23.5554051 ,120.4293742 
嘉義,163 ,23.4791236 ,120.4389495 
新營,167 ,23.3068148 ,120.3209925 
隆田,170 ,23.1927119 ,120.3170133 
善化,172 ,23.1333279 ,120.3043613 
新市,173 ,23.0682378 ,120.2878625 
永康,174 ,23.0384528 ,120.2512475 
臺南,175 ,22.9972392 ,120.2097473 
大湖,178 ,22.8781909 ,120.2517523 
路竹,179 ,22.8539549 ,120.2640774 
岡山,180 ,22.7923785 ,120.2977874 
楠梓,183 ,22.7270399 ,120.3221813 
新左營,288 ,22.6874457 ,120.3068495 
高雄,185 ,22.6389794 ,120.2998178 
鳳山,186 ,22.6311491 ,120.3576373 
九曲堂,188 ,22.6564521 ,120.4187510 
屏東,190 ,22.6688634 ,120.4840111 
潮州,195 ,22.5502109 ,120.5337033 
南州,197 ,22.4920754 ,120.5095950 
林邊,199 ,22.4313315 ,120.5130672 
枋寮,203 ,22.3680229 ,120.5929083 
大武,211 ,22.3652209 ,120.8986103 
瀧溪,213 ,22.4609799 ,120.9396167 
金崙,215 ,22.5315759 ,120.9650603 
太麻里,217 ,22.6188258 ,121.0038698 
知本,219 ,22.7102075 ,121.0585038 
康樂,220 ,22.7643167 ,121.0913855 
